"","subdistrict","code","area_ha"
"1",3212010,1,334.625
"2",3212010,2,1322.5625
"3",3212010,3,2590.875
"4",3212010,4,139.125
"5",3212011,1,1451.25
"6",3212011,2,718.4375
"7",3212011,3,3974.6875
"8",3212011,4,1872.0625
"9",3212020,1,929.8125
"10",3212020,2,434.875
"11",3212020,3,7438.25
"12",3212020,4,1236.375
"13",3212030,1,723.6875
"14",3212030,2,2461.75
"15",3212030,3,2952.6875
"16",3212030,4,94.5
"17",3212040,1,307.375
"18",3212040,2,1614
"19",3212040,3,2113.625
"20",3212040,4,63.9375
"21",3212041,1,1504.1875
"22",3212041,2,1307.9375
"23",3212041,3,4248.0625
"24",3212041,4,183.5625
"25",3212050,1,159.4375
"26",3212050,2,4185
"27",3212050,3,347.25
"28",3212050,4,7.1875
"29",3212060,1,107.875
"30",3212060,2,2580.375
"31",3212060,3,844
"32",3212060,4,62.0625
"33",3212061,1,130.1875
"34",3212061,2,1671.375
"35",3212061,3,1773.875
"36",3212061,4,105.3125
"37",3212070,1,160.9375
"38",3212070,2,1341.9375
"39",3212070,3,1420.6875
"40",3212070,4,89.8125
"41",3212080,1,179.625
"42",3212080,2,2277.6875
"43",3212080,3,21
"44",3212080,4,1.375
"45",3212081,1,168.6875
"46",3212081,2,2012.6875
"47",3212081,3,49.125
"48",3212081,4,8.0625
"49",3212090,1,1504.375
"50",3212090,2,2501.8125
"51",3212090,3,384.1875
"52",3212090,4,220.25
"53",3212100,1,230.0625
"54",3212100,2,1657.5
"55",3212100,3,152.6875
"56",3212100,4,14.6875
"57",3212101,1,216.5625
"58",3212101,2,1911.5625
"59",3212101,3,151.5625
"60",3212101,4,13.9375
"61",3212110,1,160.25
"62",3212110,2,3383.6875
"63",3212110,3,136.9375
"64",3212110,4,2.875
"65",3212120,1,427.1875
"66",3212120,2,4144.25
"67",3212120,3,26.3125
"68",3212120,4,0.1875
"69",3212130,1,434.25
"70",3212130,2,2101.625
"71",3212130,3,57.8125
"72",3212130,4,5.5
"73",3212140,1,448.8125
"74",3212140,2,621.125
"75",3212140,3,11.625
"76",3212150,1,309
"77",3212150,2,1313
"78",3212150,3,73.0625
"79",3212150,4,9.4375
"80",3212160,1,90.3125
"81",3212160,2,809.0625
"82",3212160,3,456.8125
"83",3212160,4,15.5625
"84",3212161,1,11.125
"85",3212161,2,598.9375
"86",3212161,3,82.4375
"87",3212161,4,0.0625
"88",3212162,1,25.5625
"89",3212162,2,352.4375
"90",3212162,3,212.1875
"91",3212162,4,4.1875
"92",3212170,1,152.3125
"93",3212170,2,2214.625
"94",3212170,3,88.25
"95",3212170,4,11.75
"96",3212171,1,87.5625
"97",3212171,2,1617.1875
"98",3212171,3,242.5
"99",3212171,4,3.375
"100",3212180,1,514.5625
"101",3212180,2,4323.875
"102",3212180,3,211.625
"103",3212180,4,5.125
"104",3212190,1,3246.125
"105",3212190,2,2303
"106",3212190,3,351.125
"107",3212190,4,35.3125
"108",3212200,1,939.25
"109",3212200,2,2881.5
"110",3212200,3,3.25
"111",3212200,4,1.8125
"112",3212210,1,1895.25
"113",3212210,2,4500.875
"114",3212210,3,2.75
"115",3212210,4,8.125
"116",3212220,1,2766.125
"117",3212220,2,308.6875
"118",3212220,3,0.3125
"119",3212220,4,268.375
"120",3212221,1,1829.25
"121",3212221,2,663.5625
"122",3212221,3,0.8125
"123",3212221,4,19.1875
"124",3213010,1,265.375
"125",3213010,2,180.0625
"126",3213010,3,460.25
"127",3213010,4,20.625
"128",3213011,1,458.625
"129",3213011,2,268.3125
"130",3213011,3,734.5625
"131",3213011,4,100.5625
"132",3213020,1,216.3125
"133",3213020,2,74.25
"134",3213020,3,240.3125
"135",3213020,4,31.5625
"136",3213021,1,282.5625
"137",3213021,2,100.3125
"138",3213021,3,519.75
"139",3213021,4,24.5625
"140",3213030,1,342.625
"141",3213030,2,380.3125
"142",3213030,3,531.1875
"143",3213030,4,38.375
"144",3213031,1,174.625
"145",3213031,2,317.6875
"146",3213031,3,170.3125
"147",3213031,4,11.6875
"148",3213040,1,278.4375
"149",3213040,2,255.3125
"150",3213040,3,667.75
"151",3213040,4,51.25
"152",3213050,1,681.3125
"153",3213050,2,392.375
"154",3213050,3,1114.75
"155",3213050,4,56.125
"156",3213060,1,871.625
"157",3213060,2,352.625
"158",3213060,3,595.0625
"159",3213060,4,123.375
"160",3213070,1,480.3125
"161",3213070,2,401.5625
"162",3213070,3,299.8125
"163",3213070,4,98
"164",3213080,1,638.25
"165",3213080,2,693.5625
"166",3213080,3,1081
"167",3213080,4,77.1875
"168",3213081,1,189.8125
"169",3213081,2,79.5625
"170",3213081,3,274.75
"171",3213081,4,37.3125
"172",3213090,1,648.1875
"173",3213090,2,547.125
"174",3213090,3,584
"175",3213090,4,78.4375
"176",3213100,1,1623.9375
"177",3213100,2,1336.8125
"178",3213100,3,2281.5
"179",3213100,4,155.125
"180",3213110,1,336.6875
"181",3213110,2,4821.4375
