"","subdistrict","code","area_ha"
"1",3212010,2,4276.25
"2",3212011,2,7662
"3",3212020,2,9745.0625
"4",3212030,1,59.4375
"5",3212030,2,5954
"6",3212040,2,3969.5
"7",3212041,2,6901.1875
"8",3212050,2,4554.625
"9",3212060,2,3502.25
"10",3212061,2,3577
"11",3212070,2,2912.1875
"12",3212080,2,2412.1875
"13",3212081,2,2160.5
"14",3212090,2,4509.1875
"15",3212100,2,2001.75
"16",3212101,2,2231.5
"17",3212110,2,3548.375
"18",3212120,2,4425.5625
"19",3212130,2,2512
"20",3212140,2,1040.4375
"21",3212150,2,1642.0625
"22",3212160,2,1315.3125
"23",3212161,2,671
"24",3212162,2,568.9375
"25",3212170,2,2389.6875
"26",3212171,2,1899.75
"27",3212180,1,67.5
"28",3212180,2,4826.5625
"29",3212190,1,362.4375
"30",3212190,2,5394.0625
"31",3212200,1,255.8125
"32",3212200,2,3455.8125
"33",3212210,2,6253.9375
"34",3212220,1,33.0625
"35",3212220,2,3220.5
"36",3212221,1,23.0625
"37",3212221,2,2399.4375
"38",3213010,2,796.6875
"39",3213011,2,1354.5
"40",3213020,2,495.75
"41",3213021,2,823.3125
"42",3213030,2,1149.5625
"43",3213031,2,615.0625
"44",3213040,2,1104.125
"45",3213050,2,1988.0625
"46",3213060,2,1801.0625
"47",3213070,2,1180.625
"48",3213080,2,2328.375
"49",3213081,2,510.0625
"50",3213090,2,1710.875
"51",3213100,2,5177.1875
"52",3213110,2,6846.9375
"53",3213120,2,1308.75
"54",3213130,2,2577.9375
"55",3213140,2,2529
"56",3213141,2,2951.125
"57",3213150,2,5666.75
"58",3213160,2,5355.25
"59",3213170,2,3875.9375
"60",3213171,2,5227.4375
"61",3213180,2,8537.4375
"62",3213190,1,9.125
"63",3213190,2,2060.125
"64",3213191,1,59.1875
"65",3213191,2,3166.5
"66",3213200,1,6.9375
"67",3213200,2,2320.25
"68",3213201,2,4424.375
"69",3213210,1,27.5625
"70",3213210,2,2584.375
"71",3213220,1,92.8125
"72",3213220,2,4980.5
"73",3215010,2,2812.125
"74",3215011,2,1799.0625
"75",3215020,2,1094.3125
"76",3215031,2,971.1875
"77",3215032,2,2541.75
"78",3215040,2,2392.5625
"79",3215050,2,315.8125
"80",3215051,2,1709.9375
"81",3215060,2,3414.0625
"82",3215070,2,3860.625
"83",3215071,2,4251.4375
"84",3215072,2,1371.125
"85",3215081,1,582.125
"86",3215081,2,4341.9375
"87",3215082,1,6.9375
"88",3215082,2,5310.3125
"89",3215090,2,3944
"90",3215100,2,4050.25
"91",3215111,2,2358.4375
"92",3215112,2,1310.1875
"93",3215113,2,2192.4375
"94",3215120,2,3428.75
"95",3215130,1,38.375
"96",3215130,2,7030.8125
"97",3215140,2,4367.8125
"98",3215150,2,2415.5625
"99",3215151,2,3338.75
"100",3215160,2,5260.875
"101",3215161,2,5145.0625
"102",3215170,2,4698.9375
"103",3215180,2,4977.3125
"104",3215190,2,4786.0625
"105",3215200,2,2955.0625
