"","namefile","size","masking","sampling","source","method","Count.Train","Count.Test","NoOfCoef","preProc","model","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa"
"1","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0001.csv","100","WithMasking","LOOCV","LS8","rf",252,106,27,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1",0.78968253968254,0.715569563643333,0.773584905660377,0.694597839135654
"2","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0002.csv","100","WithMasking","LOOCV","LS8","rf",252,106,17,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1",0.793650793650794,0.719340329835082,0.80188679245283,0.732869314772591
"3","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0003.csv","100","WithMasking","LOOCV","LS8","rf",252,106,17,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1",0.785714285714286,0.709832185427639,0.707547169811321,0.605616898703793
"4","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0004.csv","100","WithMasking","LOOCV","LS8","rf",252,106,17,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1",0.781746031746032,0.704054833130485,0.754716981132076,0.669068203650336
"5","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0005.csv","100","WithMasking","LOOCV","LS8","rf",252,106,17,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1",0.78968253968254,0.715072,0.754716981132076,0.668948948948949
"6","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0006.csv","100","WithMasking","LOOCV","LS8","rf",252,106,9,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MIN",0.797619047619048,0.725361141977947,0.754716981132076,0.669346130773845
"7","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0007.csv","100","WithMasking","LOOCV","LS8","rf",252,106,8,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX",0.78968253968254,0.714840830966971,0.735849056603774,0.644721091692602
"8","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0008.csv","100","WithMasking","LOOCV","LS8","rf",252,106,8,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN",0.793650793650794,0.720334642308349,0.754716981132076,0.669346130773845
"9","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0009.csv","100","WithMasking","LOOCV","LS8","rf",252,106,11,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MIN + VH_MAX_1 + VH_MIN_1",0.793650793650794,0.720471853068538,0.764150943396226,0.681605190436141
"10","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0010.csv","100","WithMasking","LOOCV","LS8","rf",252,106,9,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MAX_1",0.78968253968254,0.715120619414287,0.764150943396226,0.68129885748647
