"","Overall"
"S2_B02",46.2165589258845
"S2_B03",47.0889937095243
"S2_B04",75.9947942889744
"S2_B05",83.04211301459
"S2_B06",13.2336780166974
"S2_B07",36.0581234439709
"S2_B08",29.3798929071077
"S2_B11",100
"S2_B12",94.4280700508546
"S2_B8A",30.082043536676
"VH_MAX",3.08864047746171
"VH_MEAN",7.42742638115643
"VH_MED",3.591231617352
"VH_MIN",12.1115457894743
"VH_SUM",7.29204659901651
"VV_MAX",2.90892010312651
"VV_MEAN",0.188546264927021
"VV_MED",0.614423060766608
"VV_MIN",0
"VV_SUM",0.446193141309507
"VH_MAX_1",3.87991741783845
"VH_MEAN_1",6.49579087996383
"VH_MED_1",5.12667288975078
"VH_MIN_1",3.30783871602234
"VH_SUM_1",5.20416173535741
"VV_MAX_1",1.94418793200857
"VV_MEAN_1",1.02587489472942
"VV_MED_1",1.24311267944521
"VV_MIN_1",0.253733958487688
"VV_SUM_1",1.05712336447785
"d_VH_MAX",0.801489850278954
"d_VH_MEAN",0.669835779535846
"d_VH_MED",1.71875504030273
"d_VH_MIN",0.997342596922237
"d_VH_SUM",1.06783052355727
"d_VV_MAX",1.79919440594619
"d_VV_MEAN",0.0750798056661914
"d_VV_MED",0.752215952089669
"d_VV_MIN",0.563616188673783
"d_VV_SUM",0.79363617396889
