"","PROVINSI","KABUPATEN","KECAMATAN","subdistrict","region","TAHUN","BULAN","period1","period","BL","VEG","REPRO","RIPE","total","Paddy_planting","Paddy_harvested","luas_baku_ha","area_RS","area_factor"
"1","JAWA BARAT","INDRAMAYU","HAURGEULIS",3212010,3212,2017,"JANUARI","2017-01","'2017-01-12",367.5625,207.125,2605.5,1205.1875,4385.375,0,624,3978,4402.86213902765,1.10680295098734
"2","JAWA BARAT","INDRAMAYU","GANTAR",3212011,3212,2017,"JANUARI","2017-01","'2017-01-12",873.5625,80.75,2018.875,5034.9375,8008.125,0,0,5796,8058.97923604531,1.39043810145709
"3","JAWA BARAT","INDRAMAYU","KROYA",3212020,3212,2017,"JANUARI","2017-01","'2017-01-12",1259.125,130.4375,6247.8125,2399.8125,10037.1875,0,0,6916,10063.7842122026,1.45514520130171
"4","JAWA BARAT","INDRAMAYU","GABUSWETAN",3212030,3212,2017,"JANUARI","2017-01","'2017-01-12",561.875,809.625,4179.375,680.625,6231.5,0,0,5950,6240.5684861788,1.04883503969392
"5","JAWA BARAT","INDRAMAYU","CIKEDUNG",3212040,3212,2017,"JANUARI","2017-01","'2017-01-12",200.1875,598.5625,2940.8125,359.0625,4098.625,0,0,5671,4120.33808273943,0.72656287828239
"6","JAWA BARAT","INDRAMAYU","TERISI",3212041,3212,2017,"JANUARI","2017-01","'2017-01-12",753.4375,490.25,4125.75,1865.9375,7235.375,0,0,5099,7296.95292628421,1.43105568273862
"7","JAWA BARAT","INDRAMAYU","LELEA",3212050,3212,2017,"JANUARI","2017-01","'2017-01-12",96.375,2406.0625,2111,85.1875,4698.625,0,0,5000,4708.56003908496,0.941712007816992
"8","JAWA BARAT","INDRAMAYU","BANGODUA",3212060,3212,2017,"JANUARI","2017-01","'2017-01-12",762.5625,701.0625,1669.3125,461.3125,3594.25,0,1070,3219,3601.47475103944,1.11881787854596
"9","JAWA BARAT","INDRAMAYU","TUKDANA",3212061,3212,2017,"JANUARI","2017-01","'2017-01-12",909.0625,653.625,1188.375,928.8125,3679.875,12,1154,3731,3692.37104371059,0.989646487191261
"10","JAWA BARAT","INDRAMAYU","WIDASARI",3212070,3212,2017,"JANUARI","2017-01","'2017-01-12",159.875,800.4375,1797.5625,255.3125,3013.1875,102,394,2856,3011.47721603542,1.05443880113285
"11","JAWA BARAT","INDRAMAYU","KERTASEMAYA",3212080,3212,2017,"JANUARI","2017-01","'2017-01-12",333.5,765.75,1191.625,187.375,2478.25,125,0,2915,2485.15023091493,0.852538672698088
"12","JAWA BARAT","INDRAMAYU","SUKAGUMIWANG",3212081,3212,2017,"JANUARI","2017-01","'2017-01-12",340.8125,575.8125,979.5,341.8125,2237.9375,965,0,2570,2245.22589752096,0.873628753899208
"13","JAWA BARAT","INDRAMAYU","KRANGKENG",3212090,3212,2017,"JANUARI","2017-01","'2017-01-12",1176.375,2555.5625,306.875,570,4608.8125,4551,0,5476,4622.50756230355,0.844139437966318
"14","JAWA BARAT","INDRAMAYU","KARANGAMPEL",3212100,3212,2017,"JANUARI","2017-01","'2017-01-12",541.625,524.5,528.6875,460.5625,2055.375,785,514,2245,2065.51846416008,0.920052768000034
"15","JAWA BARAT","INDRAMAYU","KEDOKAN BUNDER",3212101,3212,2017,"JANUARI","2017-01","'2017-01-12",431.625,767.25,784.375,308.1875,2291.4375,40,28,2112,2301.12415049684,1.08954741974282
"16","JAWA BARAT","INDRAMAYU","JUNTINYUAT",3212110,3212,2017,"JANUARI","2017-01","'2017-01-12",683.1875,1967.6875,869.4375,160.5,3680.8125,73,0,4016,3697.46986537968,0.92068472743518
"17","JAWA BARAT","INDRAMAYU","SLIYEG",3212120,3212,2017,"JANUARI","2017-01","'2017-01-12",718.3125,2324.9375,1426.9375,126.375,4596.5625,639,14,4304,4606.89381574102,1.0703749571889
