"","subdistrict","code","area_ha"
"1",3212010,1,252.8125
"2",3212010,2,6657.25
"3",3212010,3,1233.875
"4",3212010,4,372.25
"5",3212011,1,318.25
"6",3212011,2,1567.8125
"7",3212011,3,1084.3125
"8",3212011,4,461.3125
"9",3212020,1,116.3125
"10",3212020,2,8014.6875
"11",3212020,3,1209.875
"12",3212020,4,407.75
"13",3212030,1,211.9375
"14",3212030,2,5688.125
"15",3212030,3,47
"16",3212030,4,68
"17",3212040,1,231
"18",3212040,2,5406.5
"19",3212040,3,589.5
"20",3212040,4,498.9375
"21",3212041,1,62.125
"22",3212041,2,4009.25
"23",3212041,3,61.0625
"24",3212041,4,26.3125
"25",3212050,1,161.25
"26",3212050,2,4338
"27",3212050,3,29.875
"28",3212050,4,25
"29",3212060,1,62.3125
"30",3212060,2,1764.625
"31",3212060,3,16.6875
"32",3212060,4,4.25
"33",3212061,1,56.6875
"34",3212061,2,2459.8125
"35",3212061,3,8.9375
"36",3212061,4,14.1875
"37",3212070,1,400.1875
"38",3212070,2,4774.9375
"39",3212070,3,159.875
"40",3212070,4,252
"41",3212080,1,77.8125
"42",3212080,2,2974.8125
"43",3212080,3,5.0625
"44",3212080,4,60.0625
"45",3212081,1,58.375
"46",3212081,2,1373
"47",3212081,3,6
"48",3212081,4,7.9375
"49",3212090,1,340.1875
"50",3212090,2,3703.25
"51",3212090,3,138.8125
"52",3212090,4,314
"53",3212100,1,216.6875
"54",3212100,2,1949.125
"55",3212100,3,36.8125
"56",3212100,4,132.3125
"57",3212101,1,99.1875
"58",3212101,2,1751.0625
"59",3212101,3,5.0625
"60",3212101,4,38.3125
"61",3212110,1,281.625
"62",3212110,2,2935.25
"63",3212110,3,153.8125
"64",3212110,4,177.9375
"65",3212120,1,279.875
"66",3212120,2,3960.125
"67",3212120,3,107.4375
"68",3212120,4,73.6875
"69",3212130,1,351.4375
"70",3212130,2,2054.25
"71",3212130,3,33.8125
"72",3212130,4,63.0625
"73",3212140,1,68.1875
"74",3212140,2,681.6875
"75",3212140,3,120.4375
"76",3212140,4,176.375
"77",3212150,1,175
"78",3212150,2,1591
"79",3212150,3,107.9375
"80",3212150,4,208.875
"81",3212160,1,82.0625
"82",3212160,2,768.3125
"83",3212160,3,264.125
"84",3212160,4,25.6875
"85",3212161,1,15.25
"86",3212161,2,179
"87",3212161,3,145.875
