"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.sigma","results.C","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"1","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",2.98023223876953e-08,1,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"2","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",2.98023223876953e-08,2,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"3","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",2.98023223876953e-08,4,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"4","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",2.98023223876953e-08,8,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"5","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",2.98023223876953e-08,16,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"6","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",2.98023223876953e-08,32,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"7","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",2.98023223876953e-08,64,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"8","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",2.98023223876953e-08,128,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"9","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",2.98023223876953e-08,256,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"10","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",2.98023223876953e-08,512,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"11","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",2.98023223876953e-08,1024,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"12","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",9.5367431640625e-07,1,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"13","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",9.5367431640625e-07,2,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"14","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",9.5367431640625e-07,4,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"15","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",9.5367431640625e-07,8,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"16","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",9.5367431640625e-07,16,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"17","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",9.5367431640625e-07,32,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"18","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",9.5367431640625e-07,64,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"19","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",9.5367431640625e-07,128,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"20","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",9.5367431640625e-07,256,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"21","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",9.5367431640625e-07,512,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"22","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",9.5367431640625e-07,1024,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
"23","Phase ~ B2 + B1 + B0","svmRadial",219,92,3,"noProc",3.0517578125e-05,1,0.315068493150685,0,0.717391304347826,0.615804690009637,0.613931607592899,0.806375079369145,0.315217391304348,2.95345656328309e-15,NA,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.84375,0.943661971830986,0.920634920634921,0.91025641025641,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.885245901639344,0.905405405405405,0.878787878787879,0.946666666666667,0.67741935483871,0.777777777777778,0.807692307692308,0.588235294117647,0.75,0.666666666666667,0.724137931034483,0.714285714285714,0.711864406779661,0.717948717948718,0.763636363636364,0.645161290322581,0.304347826086957,0.228260869565217,0.315217391304348,0.152173913043478,0.228260869565217,0.152173913043478,0.228260869565217,0.108695652173913,0.33695652173913,0.195652173913043,0.282608695652174,0.184782608695652,0.796875,0.805164319248826,0.822386425834702,0.812271062271062
