"","namefile","size","masking","sampling","source","method","Count.Train","Count.Test","NoOfCoef","preProc","model","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa"
"1","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_rf_noProc_0001.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,12,"noProc","Phase ~ VV1 + VV2 + VV3 + diff_VV1 + diff_VV2 + diff_VV3 + VH1 + VH2 + VH3 + diff_VH1 + diff_VH2 + diff_VH3",0.91945107398568,0.892601431980907,0.914804469273743,0.886405959031657
"2","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_rf_noProc_0002.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,6,"noProc","Phase ~ VH1 + VH2 + VH3 + diff_VH1 + diff_VH2 + diff_VH3",0.850238663484487,0.800318217979316,0.850558659217877,0.80074487895717
"3","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_rf_noProc_0003.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,6,"noProc","Phase ~ VV1 + VV2 + VV3 + diff_VV1 + diff_VV2 + diff_VV3",0.713007159904535,0.617342879872713,0.713687150837989,0.618249534450652
"4","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_rf_noProc_0004.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,8,"noProc","Phase ~ VV2 + VV3 + diff_VV2 + diff_VV3 + VH2 + VH3 + diff_VH2 + diff_VH3",0.908114558472554,0.877486077963405,0.916201117318436,0.888268156424581
"5","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_rf_noProc_0005.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,4,"noProc","Phase ~ VV3 + diff_VV3 + VH3 + diff_VH3",0.893794749403341,0.858392999204455,0.902234636871508,0.869646182495345
"6","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_rf_noProc_0006.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,8,"noProc","Phase ~ VV1 + VV3 + diff_VV1 + diff_VV3 + VH1 + VH3 + diff_VH1 + diff_VH3",0.912291169451074,0.883054892601432,0.912011173184358,0.88268156424581
"7","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_rf_noProc_0007.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,6,"noProc","Phase ~ VV1 + VV2 + VV3 + VH1 + VH2 + VH3",0.918854415274463,0.891805887032617,0.914804469273743,0.886405959031657
"8","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_rf_noProc_0008.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,3,"noProc","Phase ~ VH1 + VH2 + VH3",0.850835322195704,0.801113762927605,0.85195530726257,0.802607076350093
"9","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_rf_noProc_0009.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,3,"noProc","Phase ~ VV1 + VV2 + VV3",0.69272076372315,0.590294351630867,0.70391061452514,0.605214152700186
"10","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_rf_noProc_0010.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,1,"noProc","Phase ~ VH1",0.387231503579952,0.182975338106603,0.347765363128492,0.130353817504655
"11","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_rf_noProc_0011.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,1,"noProc","Phase ~ VH2",0.387828162291169,0.183770883054893,0.384078212290503,0.17877094972067
"12","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_rf_noProc_0012.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,1,"noProc","Phase ~ VH3",0.644988066825776,0.526650755767701,0.620111731843575,0.493482309124767
"13","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_rf_noProc_0013.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,1,"noProc","Phase ~ VV1",0.332935560859189,0.110580747812251,0.339385474860335,0.119180633147114
"14","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_rf_noProc_0014.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,2,"noProc","Phase ~ VH2 + VH3",0.754773269689737,0.673031026252983,0.773743016759777,0.698324022346369
"15","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_rf_noProc_0015.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,2,"noProc","Phase ~ VH1 + VH3",0.821599045346062,0.762132060461416,0.826815642458101,0.769087523277467
"16","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_rf_noProc_0016.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,1,"noProc","Phase ~ diff_VH1",0.409307875894988,0.212410501193317,0.435754189944134,0.247672253258845
"17","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_svmRadial_noProc_0001.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,12,"noProc","Phase ~ VV1 + VV2 + VV3 + diff_VV1 + diff_VV2 + diff_VV3 + VH1 + VH2 + VH3 + diff_VH1 + diff_VH2 + diff_VH3",0.927207637231504,0.902943516308671,0.927374301675978,0.90316573556797
"18","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_svmRadial_noProc_0002.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,6,"noProc","Phase ~ VH1 + VH2 + VH3 + diff_VH1 + diff_VH2 + diff_VH3",0.860381861575179,0.813842482100239,0.857541899441341,0.810055865921788
"19","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_svmRadial_noProc_0003.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,6,"noProc","Phase ~ VV1 + VV2 + VV3 + diff_VV1 + diff_VV2 + diff_VV3",0.714200477326969,0.618933969769292,0.726256983240223,0.635009310986965
"20","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_svmRadial_noProc_0004.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,8,"noProc","Phase ~ VV2 + VV3 + diff_VV2 + diff_VV3 + VH2 + VH3 + diff_VH2 + diff_VH3",0.927804295942721,0.903739061256961,0.923184357541899,0.897579143389199
"21","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_svmRadial_noProc_0005.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,4,"noProc","Phase ~ VV3 + diff_VV3 + VH3 + diff_VH3",0.91109785202864,0.881463802704853,0.920391061452514,0.893854748603352
"22","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_svmRadial_noProc_0006.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,8,"noProc","Phase ~ VV1 + VV3 + diff_VV1 + diff_VV3 + VH1 + VH3 + diff_VH1 + diff_VH3",0.924821002386635,0.899761336515513,0.924581005586592,0.899441340782123
"23","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_svmRadial_noProc_0007.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,6,"noProc","Phase ~ VV1 + VV2 + VV3 + VH1 + VH2 + VH3",0.928400954653938,0.904534606205251,0.930167597765363,0.906890130353818
"24","WithMasking_LOOCV_ML_S1_LEE_2019_v7_WEST_svmRadial_noProc_0008.csv","100","WithMasking","LOOCV","S1","WEST",1676,716,3,"noProc","Phase ~ VH1 + VH2 + VH3",0.858591885441527,0.81145584725537,0.850558659217877,0.80074487895717
