"","PROVINSI","KABUPATEN","KECAMATAN","subdistrict","region","TAHUN","BULAN","period1","period","BL","VEG","REPRO","RIPE","total","Paddy_planting","Paddy_harvested","luas_baku_ha","area_RS","area_factor"
"1","JAWA BARAT","INDRAMAYU","HAURGEULIS",3212010,3212,2017,"JANUARI","2017-01","'2017-01-12",161.3125,238.5,1956.0625,1906.5,4262.375,0,624,3978,4402.86213902765,1.10680295098734
"2","JAWA BARAT","INDRAMAYU","GANTAR",3212011,3212,2017,"JANUARI","2017-01","'2017-01-12",189.3125,199.75,1297.375,5932.875,7619.3125,0,0,5796,8058.97923604531,1.39043810145709
"3","JAWA BARAT","INDRAMAYU","KROYA",3212020,3212,2017,"JANUARI","2017-01","'2017-01-12",244.5,275.1875,3738.625,5470.3125,9728.625,0,0,6916,10063.7842122026,1.45514520130171
"4","JAWA BARAT","INDRAMAYU","GABUSWETAN",3212030,3212,2017,"JANUARI","2017-01","'2017-01-12",162.875,1025.4375,3525.375,1292.625,6006.3125,0,0,5950,6240.5684861788,1.04883503969392
"5","JAWA BARAT","INDRAMAYU","CIKEDUNG",3212040,3212,2017,"JANUARI","2017-01","'2017-01-12",24.8125,37.5,988.375,2903.4375,3954.125,0,0,5671,4120.33808273943,0.72656287828239
"6","JAWA BARAT","INDRAMAYU","TERISI",3212041,3212,2017,"JANUARI","2017-01","'2017-01-12",102.125,185.5625,2925.5625,3648.5,6861.75,0,0,5099,7296.95292628421,1.43105568273862
"7","JAWA BARAT","INDRAMAYU","LELEA",3212050,3212,2017,"JANUARI","2017-01","'2017-01-12",22.125,1491.4375,569.25,2463.8125,4546.625,0,0,5000,4708.56003908496,0.941712007816992
"8","JAWA BARAT","INDRAMAYU","BANGODUA",3212060,3212,2017,"JANUARI","2017-01","'2017-01-12",552.5625,31.625,538.4375,2374.25,3496.875,0,1070,3219,3601.47475103944,1.11881787854596
"9","JAWA BARAT","INDRAMAYU","TUKDANA",3212061,3212,2017,"JANUARI","2017-01","'2017-01-12",571.0625,216.625,390.75,2389.0625,3567.5,12,1154,3731,3692.37104371059,0.989646487191261
"10","JAWA BARAT","INDRAMAYU","WIDASARI",3212070,3212,2017,"JANUARI","2017-01","'2017-01-12",46.375,253.9375,878.25,1731.5,2910.0625,102,394,2856,3011.47721603542,1.05443880113285
"11","JAWA BARAT","INDRAMAYU","KERTASEMAYA",3212080,3212,2017,"JANUARI","2017-01","'2017-01-12",22.25,904.0625,1078.25,400.4375,2405,125,0,2915,2485.15023091493,0.852538672698088
"12","JAWA BARAT","INDRAMAYU","SUKAGUMIWANG",3212081,3212,2017,"JANUARI","2017-01","'2017-01-12",96.25,295.25,840.625,922,2154.125,965,0,2570,2245.22589752096,0.873628753899208
"13","JAWA BARAT","INDRAMAYU","KRANGKENG",3212090,3212,2017,"JANUARI","2017-01","'2017-01-12",239.5,4125.8125,52.5,75.625,4493.4375,4551,0,5476,4622.50756230355,0.844139437966318
"14","JAWA BARAT","INDRAMAYU","KARANGAMPEL",3212100,3212,2017,"JANUARI","2017-01","'2017-01-12",139.1875,1250.625,268,335.875,1993.6875,785,514,2245,2065.51846416008,0.920052768000034
"15","JAWA BARAT","INDRAMAYU","KEDOKAN BUNDER",3212101,3212,2017,"JANUARI","2017-01","'2017-01-12",94.25,1183.5625,659.4375,284.75,2222,40,28,2112,2301.12415049684,1.08954741974282
"16","JAWA BARAT","INDRAMAYU","JUNTINYUAT",3212110,3212,2017,"JANUARI","2017-01","'2017-01-12",139.75,2915.5,365.375,116.1875,3536.8125,73,0,4016,3697.46986537968,0.92068472743518
"17","JAWA BARAT","INDRAMAYU","SLIYEG",3212120,3212,2017,"JANUARI","2017-01","'2017-01-12",79.4375,3202.1875,916.5,217.8125,4415.9375,639,14,4304,4606.89381574102,1.0703749571889
"18","JAWA BARAT","INDRAMAYU","JATIBARANG",3212130,3212,2017,"JANUARI","2017-01","'2017-01-12",42.3125,1830.75,263.625,363.75,2500.4375,1252,91,2999,2609.27535594125,0.870048468136462
"19","JAWA BARAT","INDRAMAYU","BALONGAN",3212140,3212,2017,"JANUARI","2017-01","'2017-01-12",21,1000.25,1.5,15.6875,1038.4375,1574,0,1987,1084.93057469694,0.546014380823824
"20","JAWA BARAT","INDRAMAYU","INDRAMAYU",3212150,3212,2017,"JANUARI","2017-01","'2017-01-12",74.0625,1255.4375,71.9375,234.6875,1636.125,604,38,1758,1710.75071367456,0.973123272852426
"21","JAWA BARAT","INDRAMAYU","SINDANG",3212160,3212,2017,"JANUARI","2017-01","'2017-01-12",11.3125,388.25,429.75,477.625,1306.9375,0,0,1981,1380.5777159554,0.696909498210704
"22","JAWA BARAT","INDRAMAYU","CANTIGI",3212161,3212,2017,"JANUARI","2017-01","'2017-01-12",6.3125,402.5,22.5,235.8125,667.125,245,0,1281,697.089011471824,0.544175652983469
"23","JAWA BARAT","INDRAMAYU","PASEKAN",3212162,3212,2017,"JANUARI","2017-01","'2017-01-12",3.1875,266.25,152.5,143.4375,565.375,55,0,816,596.904010282201,0.731500012600737
"24","JAWA BARAT","INDRAMAYU","LOHBENER",3212170,3212,2017,"JANUARI","2017-01","'2017-01-12",44.0625,1591.5,180.9375,564.875,2381.375,0,80,2554,2478.52746883478,0.970449283020664
"25","JAWA BARAT","INDRAMAYU","ARAHAN",3212171,3212,2017,"JANUARI","2017-01","'2017-01-12",68,1427.375,88.0625,311.8125,1895.25,266,25,2418,1958.01120925015,0.809764768093527
"26","JAWA BARAT","INDRAMAYU","LOSARANG",3212180,3212,2017,"JANUARI","2017-01","'2017-01-12",106.875,3096,1081.9375,600.1875,4885,452,0,7244,5066.03127002204,0.699341699340425
"27","JAWA BARAT","INDRAMAYU","KANDANGHAUR",3212190,3212,2017,"JANUARI","2017-01","'2017-01-12",751.125,3583.1875,1081,337.375,5752.6875,2208,0,6250,5940.94825888658,0.950551721421854
"28","JAWA BARAT","INDRAMAYU","BONGAS",3212200,3212,2017,"JANUARI","2017-01","'2017-01-12",347.375,1648.25,1511.25,197.5,3704.375,940,0,3930,3830.67794699589,0.974727212976053
"29","JAWA BARAT","INDRAMAYU","ANJATAN",3212210,3212,2017,"JANUARI","2017-01","'2017-01-12",658.625,4278.3125,1114,184.75,6235.6875,2340,0,6100,6418.52206261437,1.05221673157613
"30","JAWA BARAT","INDRAMAYU","SUKRA",3212220,3212,2017,"JANUARI","2017-01","'2017-01-12",995.4375,1952.375,82.9375,216.625,3247.375,782,0,3445,3351.05294213969,0.972729446194394
"31","JAWA BARAT","INDRAMAYU","PATROL",3212221,3212,2017,"JANUARI","2017-01","'2017-01-12",542.625,1623.9375,49.875,195.5625,2412,2234,0,3175,2522.77072371809,0.794573456289161
"32","JAWA BARAT","SUBANG","SAGALAHERANG",3213010,3213,2017,"JANUARI","2017-01","'2017-01-12",63.5625,173.8125,141.1875,403.0625,781.625,84,514,1168,938.633834082657,0.803624857947481
"33","JAWA BARAT","SUBANG","SERANGPANJANG",3213011,3213,2017,"JANUARI","2017-01","'2017-01-12",98.1875,236.375,229.9375,758.25,1322.75,657,76,1406,1599.01751759538,1.13728130696685
"34","JAWA BARAT","SUBANG","JALANCAGAK",3213020,3213,2017,"JANUARI","2017-01","'2017-01-12",27,111.3125,133.625,203.875,475.8125,204,103,699,581.95099228709,0.832547914573806
"35","JAWA BARAT","SUBANG","CIATER",3213021,3213,2017,"JANUARI","2017-01","'2017-01-12",59.0625,373,55.4375,316.6875,804.1875,234,258,1240,950.569956300227,0.766588674435667
"36","JAWA BARAT","SUBANG","CISALAK",3213030,3213,2017,"JANUARI","2017-01","'2017-01-12",91.375,619.1875,133.0625,273,1116.625,423,293,1676,1327.83100452924,0.792261935876634
