"","sensor","model","period","region","subdistrict","area_ha_1","area_ha_2","area_ha_3","area_ha_4"
"1","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212010","367.5625","207.125","2605.5","1205.1875"
"2","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212011","873.5625","80.75","2018.875","5034.9375"
"3","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212020","1259.125","130.4375","6247.8125","2399.8125"
"4","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212030","561.875","809.625","4179.375","680.625"
"5","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212040","200.1875","598.5625","2940.8125","359.0625"
"6","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212041","753.4375","490.25","4125.75","1865.9375"
"7","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212050","96.375","2406.0625","2111","85.1875"
"8","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212060","762.5625","701.0625","1669.3125","461.3125"
"9","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212061","909.0625","653.625","1188.375","928.8125"
"10","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212070","159.875","800.4375","1797.5625","255.3125"
"11","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212080","333.5","765.75","1191.625","187.375"
"12","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212081","340.8125","575.8125","979.5","341.8125"
"13","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212090","1176.375","2555.5625","306.875","570"
"14","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212100","541.625","524.5","528.6875","460.5625"
"15","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212101","431.625","767.25","784.375","308.1875"
"16","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212110","683.1875","1967.6875","869.4375","160.5"
"17","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212120","718.3125","2324.9375","1426.9375","126.375"
"18","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212130","248.9375","1762.9375","449.4375","137.125"
