"","sensor","model","period","region","subdistrict","area_ha_1","area_ha_2","area_ha_3","area_ha_4"
"1","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212010","161.3125","238.5","1956.0625","1906.5"
"2","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212011","189.3125","199.75","1297.375","5932.875"
"3","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212020","244.5","275.1875","3738.625","5470.3125"
"4","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212030","162.875","1025.4375","3525.375","1292.625"
"5","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212040","24.8125","37.5","988.375","2903.4375"
"6","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212041","102.125","185.5625","2925.5625","3648.5"
"7","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212050","22.125","1491.4375","569.25","2463.8125"
"8","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212060","552.5625","31.625","538.4375","2374.25"
"9","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212061","571.0625","216.625","390.75","2389.0625"
"10","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212070","46.375","253.9375","878.25","1731.5"
"11","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212080","22.25","904.0625","1078.25","400.4375"
"12","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212081","96.25","295.25","840.625","922"
"13","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212090","239.5","4125.8125","52.5","75.625"
"14","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212100","139.1875","1250.625","268","335.875"
"15","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212101","94.25","1183.5625","659.4375","284.75"
"16","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212110","139.75","2915.5","365.375","116.1875"
"17","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212120","79.4375","3202.1875","916.5","217.8125"
"18","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212130","42.3125","1830.75","263.625","363.75"
"19","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212140","21","1000.25","1.5","15.6875"
"20","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212150","74.0625","1255.4375","71.9375","234.6875"
"21","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212160","11.3125","388.25","429.75","477.625"
"22","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212161","6.3125","402.5","22.5","235.8125"
"23","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212162","3.1875","266.25","152.5","143.4375"
"24","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212170","44.0625","1591.5","180.9375","564.875"
"25","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212171","68","1427.375","88.0625","311.8125"
"26","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212180","106.875","3096","1081.9375","600.1875"
"27","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212190","751.125","3583.1875","1081","337.375"
"28","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212200","347.375","1648.25","1511.25","197.5"
"29","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212210","658.625","4278.3125","1114","184.75"
"30","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212220","995.4375","1952.375","82.9375","216.625"
"31","S1_PROBA","svmRadial0610","'2017-01-12","3212","3212221","542.625","1623.9375","49.875","195.5625"
"32","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213010","63.5625","173.8125","141.1875","403.0625"
"33","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213011","98.1875","236.375","229.9375","758.25"
"34","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213020","27","111.3125","133.625","203.875"
"35","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213021","59.0625","373","55.4375","316.6875"
"36","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213030","91.375","619.1875","133.0625","273"
"37","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213031","52.9375","325.4375","38.75","177.5625"
"38","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213040","86.6875","427.25","282.8125","279.4375"
"39","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213050","65.4375","703.3125","135.8125","1013.1875"
"40","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213060","109.8125","422.3125","199.375","1028.3125"
"41","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213070","53.125","300.875","75.125","716.6875"
"42","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213080","119.8125","509.3125","444.1875","1203.3125"
"43","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213081","24","135","57.5","278.0625"
"44","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213090","162.0625","249.25","260.25","973.875"
"45","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213100","435.75","375.375","1604.1875","2716.6875"
"46","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213110","255","786.8125","3911.1875","1877.6875"
"47","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213120","61.375","240.125","356.0625","605.5625"
"48","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213130","115","314.0625","1318","792"
"49","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213140","260.0625","270.75","825.375","1151"
"50","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213141","245.875","807.0625","673.4375","1204.25"
"51","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213150","313.625","1671.4375","1029.125","2612.8125"
"52","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213160","375","4129.4375","489","342.4375"
"53","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213170","138.5","2229.25","1168.375","334.8125"
"54","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213171","311.875","4514.125","213.8125","177.625"
"55","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213180","256.875","5721.375","1701.4375","841.1875"
"56","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213190","278.875","1649.8125","74.25","57.8125"
"57","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213191","331.25","2756.8125","38.3125","90.9375"
"58","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213200","413.3125","1573.1875","82.875","249.875"
"59","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213201","709.0625","3624.6875","29.9375","46.125"
"60","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213210","169.875","2179","109.5","145.1875"
"61","S1_PROBA","svmRadial0610","'2017-01-12","3213","3213220","462.0625","4364.625","146.5","85.8125"
"62","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215010","40.4375","324.75","237.375","781.9375"
"63","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215011","166.875","343.6875","341.5625","625.625"
"64","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215020","43.4375","182.125","241.625","591"
"65","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215031","86.5","399","128.5625","339.125"
"66","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215032","156.375","818.5625","15.9375","474.6875"
"67","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215040","159.875","360","517.375","1342.1875"
"68","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215050","15.75","25.25","101.1875","166.375"
"69","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215051","40.8125","51.1875","1123.1875","489.75"
"70","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215060","120.8125","272.9375","1774.9375","1241.25"
"71","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215070","70.125","449.0625","2244.75","1093.125"
"72","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215071","442.5","3044.875","120.375","641.3125"
"73","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215072","44.0625","47.5","716.75","554.0625"
"74","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215081","129.1875","4685.375","63.625","43.625"
"75","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215082","255.75","4744.25","272.625","42.375"
"76","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215090","269.5","2123.3125","876.625","671.875"
"77","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215100","191.5625","2654.0625","705.1875","495.3125"
"78","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215111","95.875","175.25","1171.5625","913.625"
"79","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215112","110.9375","252.125","307.6875","632.625"
"80","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215113","157.375","198.375","805","1014.5"
"81","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215120","136.625","1186.375","1506.9375","593.75"
"82","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215130","449.1875","4999.125","424.125","1192.9375"
"83","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215140","288.5","2948.25","918.75","211.375"
"84","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215150","90.4375","1432.875","216.5625","293.3125"
"85","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215151","219.3125","901.9375","22.125","729.3125"
"86","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215160","791.625","2642.125","257.375","1566.75"
"87","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215161","656.5625","2648.4375","477.4375","1358.5625"
"88","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215170","148.5625","3582.25","1.75","317.5625"
"89","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215180","119.125","584.8125","0","50.25"
"90","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215190","13.125","1523.25","0","49.375"
"91","S1_PROBA","svmRadial0610","'2017-01-12","3215","3215200","27.5625","793.4375","0","141.8125"
"92","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212010","924.6875","278","817.5","2242.1875"
"93","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212011","515","209.8125","150.3125","6747.625"
"94","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212020","1582.875","246.25","94.0625","7806.3125"
"95","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212030","1644.125","591","2447.1875","1323.625"
"96","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212040","247.375","66.8125","472.25","3163.25"
"97","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212041","564.0625","142","1189.4375","4966.375"
"98","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212050","75.8125","142.0625","1857","2470.875"
"99","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212060","423.375","557.8125","227","2288.375"
"100","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212061","262.8125","926.0625","74.25","2301.3125"
"101","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212070","130.6875","200.75","782.75","1795.3125"
"102","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212080","52.8125","285","1593.0625","473.9375"
"103","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212081","68","325.1875","929.125","830.375"
"104","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212090","262.5","4200.6875","20.4375","8.5625"
"105","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212100","201.1875","1021.1875","515.3125","257.125"
"106","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212101","137.25","724","1086.125","274.625"
"107","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212110","88.875","1079.4375","2252.0625","116.4375"
"108","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212120","91.0625","2024.125","2074","226.75"
"109","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212130","48.25","1013.6875","1083.5625","353.9375"
"110","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212140","44.25","948.0625","37.3125","8.5625"
"111","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212150","161.1875","1123","179.25","171"
"112","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212160","154.375","52.0625","565.25","533.375"
"113","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212161","14.3125","75.125","355.8125","221"
"114","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212162","55.1875","51.375","310.25","148.1875"
"115","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212170","45.3125","659.75","1121.1875","553.25"
"116","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212171","95.6875","1195.3125","342.25","261.1875"
"117","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212180","112.8125","1090.75","3078.3125","602.5625"
"118","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212190","886","3144.875","1252.5625","468.625"
"119","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212200","732.375","1432","1292.375","247.4375"
"120","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212210","583.1875","3898.5","1393.75","360"
"121","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212220","688.375","2451.5","39.375","68.3125"
"122","S1_PROBA","svmRadial0610","'2017-01-24","3212","3212221","457.9375","1797.75","53.3125","102.375"
"123","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213010","98.4375","312.9375","63.8125","305"
"124","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213011","157.875","388.9375","74.9375","697.5"
"125","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213020","50.0625","145.375","45.25","233.5625"
"126","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213021","73.0625","417.5","40.8125","272.9375"
"127","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213030","99.1875","647.5625","153.25","216.3125"
"128","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213031","68.625","303.9375","99.5","122.5"
"129","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213040","66.8125","397.125","302.6875","309.4375"
"130","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213050","136.0625","809.8125","114.75","856.4375"
"131","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213060","131.9375","467.125","138.875","1022.6875"
"132","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213070","100.0625","359.1875","64.9375","621.375"
"133","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213080","164.5625","804.5625","151.3125","1146.125"
"134","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213081","52.125","191.4375","27.5625","223"
"135","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213090","205.625","461.4375","146.3125","817.625"
"136","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213100","535.25","729.125","531.625","3329.6875"
"137","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213110","806.6875","472.6875","1882.625","3667.125"
"138","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213120","105.9375","412.625","268","465.125"
"139","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213130","366.875","206.375","977.8125","979.0625"
"140","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213140","446.6875","378.5","161.625","1522.4375"
"141","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213141","412.5","818.6875","504.25","1195.4375"
"142","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213150","540.1875","1305.0625","772.3125","3009.3125"
"143","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213160","350.375","3836","843.75","305.3125"
"144","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213170","406.875","1282.75","1599.6875","579.75"
"145","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213171","134.6875","4387.75","512.625","182.1875"
"146","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213180","563.75","3657","3305.3125","990.0625"
"147","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213190","392.25","1610.875","33.9375","23.75"
"148","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213191","265.3125","2689.9375","198.4375","63.125"
"149","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213200","869","1334.625","49.0625","64.9375"
"150","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213201","360.8125","4017.5","18.25","12.4375"
"151","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213210","518.125","1922.875","95.875","65.5"
"152","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213220","221.125","4431.9375","361.5","44.375"
"153","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215010","43.1875","123.5","2.8125","470.3125"
"154","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215011","235.9375","339.75","141.6875","668.6875"
"155","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215020","96.125","231.625","118.8125","610.375"
"156","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215031","140.0625","363.0625","191.5","234.5"
